"categoria","servicio","municipio","total_usuarios_por_servicio","suma_subsidios"
"A","Creditos","Pácora","203","7095387276"
"A","Creditos","Marmato","201","6148226349"
"A","Creditos","Salamina","201","6036039709"
"A","Creditos","Anserma","198","5965237660"
"A","Creditos","Victoria","198","6065008244"
"A","Creditos","Aguadas","198","6642460429"
"A","Creditos","Marulanda","193","5894293795"
"A","Creditos","Riosucio","191","5502710935"
"A","Deporte y Acondicionamiento Fisico","Neira","261","8030343468"
"A","Deporte y Acondicionamiento Fisico","Manizales","233","7696522653"
"A","Deporte y Acondicionamiento Fisico","Norcasia","227","6881402639"
"A","Deporte y Acondicionamiento Fisico","Villamaría","225","7639382148"
"A","Deporte y Acondicionamiento Fisico","San José","223","6930337953"
"A","Deporte y Acondicionamiento Fisico","Marmato","220","6950430785"
"A","Deporte y Acondicionamiento Fisico","Filadelfia","218","6123961148"
"A","Deporte y Acondicionamiento Fisico","Victoria","218","6688073773"
"A","Deporte y Acondicionamiento Fisico","La Dorada","218","7044639916"
"A","Deporte y Acondicionamiento Fisico","La Merced","217","6953649019"
"A","Deporte y Acondicionamiento Fisico","Marulanda","215","6663438555"
"A","Deporte y Acondicionamiento Fisico","Riosucio","215","6804042668"
"A","Deporte y Acondicionamiento Fisico","Chinchiná","214","6571327993"
"A","Deporte y Acondicionamiento Fisico","Manzanares","214","7076576686"
"A","Deporte y Acondicionamiento Fisico","Samaná","213","6913988028"
"A","Deporte y Acondicionamiento Fisico","Supía","213","6762683742"
"A","Deporte y Acondicionamiento Fisico","Viterbo","210","7008277095"
"A","Deporte y Acondicionamiento Fisico","Pácora","209","6521191928"
"A","Deporte y Acondicionamiento Fisico","Anserma","209","6374109216"
"A","Deporte y Acondicionamiento Fisico","Aranzazu","204","6384753804"
"A","Deporte y Acondicionamiento Fisico","Aguadas","204","6430995695"
"A","Deporte y Acondicionamiento Fisico","Salamina","201","6374721145"
"A","Deporte y Acondicionamiento Fisico","Belalcázar","199","6080448948"
"A","Deporte y Acondicionamiento Fisico","lse","197","5789986526"
"A","Deporte y Acondicionamiento Fisico","Marquetalia","190","5431001556"
"A","Deporte y Acondicionamiento Fisico","Risaralda","190","5998096163"
"A","Deportes","Samaná","246","8252229400"
"A","Deportes","La Merced","245","7473835485"
"A","Deportes","Marquetalia","241","7783906185"
"A","Deportes","Viterbo","235","7542602356"
"A","Deportes","Risaralda","235","7236956032"
"A","Deportes","Anserma","227","6738484743"
"A","Deportes","Belalcázar","224","7948794851"
"A","Deportes","Villamaría","224","6890610447"
"A","Deportes","Neira","223","6764957395"
"A","Deportes","La Dorada","219","7070464197"
"A","Deportes","Marmato","219","7678159633"
"A","Deportes","Manizales","217","6527457782"
"A","Deportes","Supía","217","7361549850"
"A","Deportes","Chinchiná","216","6592465162"
"A","Deportes","Aguadas","216","6601786461"
"A","Deportes","Filadelfia","214","6774312258"
"A","Deportes","Salamina","211","6701919855"
"A","Deportes","Pácora","211","7105333564"
"A","Deportes","Aranzazu","211","6171285692"
"A","Deportes","San José","203","6271079345"
"A","Deportes","Riosucio","201","6607080997"
"A","Deportes","Manzanares","198","6427817978"
"A","Deportes","lse","196","7204427758"
"A","Deportes","Victoria","191","6259674888"
"A","Deportes","Marulanda","181","5580682785"
"A","Deportes","Norcasia","179","5974902021"
"A","Educación","Villamaría","246","8027809642"
"A","Educación","Marquetalia","242","7945668285"
"A","Educación","Samaná","241","8116249629"
"A","Educación","La Merced","238","7357584546"
"A","Educación","lse","229","6850796936"
"A","Educación","Marulanda","229","7233406152"
"A","Educación","Marmato","227","6812081201"
"A","Educación","Filadelfia","226","6988391202"
"A","Educación","Aranzazu","225","6373939223"
"A","Educación","San José","225","7164744440"
"A","Educación","Belalcázar","224","7037677069"
"A","Educación","Anserma","224","6681723487"
"A","Educación","Norcasia","219","7164629024"
"A","Educación","Neira","218","6621969277"
"A","Educación","Pácora","217","7411407931"
"A","Educación","La Dorada","216","6370267572"
"A","Educación","Chinchiná","210","5827735753"
"A","Educación","Viterbo","208","6457030998"
"A","Educación","Manzanares","208","6653208677"
"A","Educación","Aguadas","206","6348450110"
"A","Educación","Manizales","205","6048463852"
"A","Educación","Riosucio","200","6428911818"
"A","Educación","Risaralda","197","6110592431"
"A","Educación","Supía","197","6170361131"
"A","Educación","Salamina","193","6016560827"
"A","Educación","Victoria","181","5684851952"
"A","Eventos Culturales","Neira","247","8341448391"
"A","Eventos Culturales","Samaná","245","7961197636"
"A","Eventos Culturales","Aguadas","242","7650421490"
"A","Eventos Culturales","La Dorada","239","7644351684"
"A","Eventos Culturales","Belalcázar","238","7480948688"
"A","Eventos Culturales","Norcasia","226","7238512430"
"A","Eventos Culturales","Manizales","226","7641825103"
"A","Eventos Culturales","Supía","223","6845505888"
"A","Eventos Culturales","Viterbo","221","6923294830"
"A","Eventos Culturales","Pácora","219","7592372586"
"A","Eventos Culturales","San José","219","6606914993"
"A","Eventos Culturales","lse","218","6788292204"
"A","Eventos Culturales","Filadelfia","213","6828210966"
"A","Eventos Culturales","Aranzazu","210","6398758011"
"A","Eventos Culturales","Salamina","210","6655317173"
"A","Eventos Culturales","Risaralda","208","6628487699"
"A","Eventos Culturales","Marquetalia","208","6451479187"
"A","Eventos Culturales","Anserma","207","6304566754"
"A","Eventos Culturales","Manzanares","205","6370076993"
"A","Eventos Culturales","Villamaría","205","6345622767"
"A","Eventos Culturales","Marmato","204","7011159621"
"A","Eventos Culturales","La Merced","203","6521401277"
"A","Eventos Culturales","Chinchiná","202","6239677951"
"A","Eventos Culturales","Riosucio","198","5695324339"
"A","Eventos Culturales","Marulanda","193","5706754497"
"A","Eventos Culturales","Victoria","187","5889607092"
"A","Plan Medicina Prepagada","La Merced","236","7392585931"
"A","Plan Medicina Prepagada","Norcasia","234","7652797831"
"A","Plan Medicina Prepagada","Neira","231","6992611020"
"A","Plan Medicina Prepagada","Belalcázar","231","7249323169"
"A","Plan Medicina Prepagada","San José","229","7404532763"
"A","Plan Medicina Prepagada","Salamina","228","6727318516"
"A","Plan Medicina Prepagada","Manizales","224","6879428583"
"A","Plan Medicina Prepagada","Samaná","223","7252265394"
"A","Plan Medicina Prepagada","Pácora","223","8022206961"
"A","Plan Medicina Prepagada","Filadelfia","219","7078841122"
"A","Plan Medicina Prepagada","La Dorada","219","6297839423"
"A","Plan Medicina Prepagada","Aranzazu","219","6328993916"
"A","Plan Medicina Prepagada","Marquetalia","217","6394829001"
"A","Plan Medicina Prepagada","Villamaría","215","7342119483"
"A","Plan Medicina Prepagada","Manzanares","215","6635123946"
"A","Plan Medicina Prepagada","Supía","214","6895033386"
"A","Plan Medicina Prepagada","Marmato","214","6592313821"
"A","Plan Medicina Prepagada","Riosucio","211","6628671042"
"A","Plan Medicina Prepagada","Aguadas","205","6617236145"
"A","Plan Medicina Prepagada","Anserma","200","6561120801"
"A","Plan Medicina Prepagada","Viterbo","194","5928198022"
"A","Plan Medicina Prepagada","lse","194","6075694120"
"A","Plan Medicina Prepagada","Victoria","194","6485642620"
"A","Plan Medicina Prepagada","Chinchiná","193","6074110102"
"A","Plan Medicina Prepagada","Marulanda","193","6247001138"
"A","Plan Medicina Prepagada","Risaralda","187","5877926281"
"A","Servicios Medicos","Viterbo","231","7934561089"
"A","Servicios Medicos","San José","229","7429042207"
"A","Servicios Medicos","Marmato","229","6710794273"
"A","Servicios Medicos","Supía","228","7388716586"
"A","Servicios Medicos","Villamaría","225","6935811177"
"A","Servicios Medicos","Samaná","225","7664139505"
"A","Servicios Medicos","Aranzazu","224","6536417465"
"A","Servicios Medicos","Norcasia","224","6205198959"
"A","Servicios Medicos","Riosucio","222","6641850480"
"A","Servicios Medicos","Marquetalia","222","7124299359"
"A","Servicios Medicos","Manizales","220","6832829745"
"A","Servicios Medicos","Neira","220","6575674309"
"A","Servicios Medicos","Anserma","215","5830940195"
"A","Servicios Medicos","lse","215","6915889138"
"A","Servicios Medicos","Chinchiná","215","7060196964"
"A","Servicios Medicos","La Dorada","211","6376523419"
"A","Servicios Medicos","Belalcázar","211","6296788280"
"A","Servicios Medicos","Pácora","208","6773614946"
"A","Servicios Medicos","Filadelfia","208","6034719000"
"A","Servicios Medicos","La Merced","207","6541533178"
"A","Servicios Medicos","Aguadas","206","6857434759"
"A","Servicios Medicos","Marulanda","206","6467945640"
"A","Servicios Medicos","Risaralda","203","6339426427"
"A","Servicios Medicos","Salamina","199","6543313092"
"A","Servicios Medicos","Manzanares","199","6386185449"
"A","Servicios Medicos","Victoria","190","6319356806"
"A","Subsidios","Chinchiná","251","7642033958"
"A","Subsidios","La Dorada","248","7306447556"
"A","Subsidios","Risaralda","237","7633040206"
"A","Subsidios","Norcasia","229","7333659387"
"A","Subsidios","Manzanares","226","7113542392"
"A","Subsidios","Neira","225","7268800596"
"A","Subsidios","Pácora","224","7790236394"
"A","Subsidios","Belalcázar","218","6596320518"
"A","Subsidios","Aguadas","218","6999002752"
"A","Subsidios","Aranzazu","217","6556733159"
"A","Subsidios","Anserma","216","6258376899"
"A","Subsidios","Marquetalia","216","7313041927"
"A","Subsidios","Filadelfia","215","6719429473"
"A","Subsidios","La Merced","213","6443190011"
"A","Subsidios","Samaná","209","6132313678"
"A","Subsidios","Supía","209","6750188074"
"A","Subsidios","Salamina","207","6472469751"
"A","Subsidios","Viterbo","207","6523713473"
"A","Subsidios","Marulanda","206","5972471629"
"A","Subsidios","lse","206","6912444266"
"A","Subsidios","Manizales","201","6431611023"
"A","Subsidios","San José","201","6444676184"
"A","Subsidios","Riosucio","198","6350634133"
"A","Subsidios","Marmato","198","6714978870"
"A","Subsidios","Villamaría","196","5720006548"
"A","Subsidios","Victoria","190","5412281965"
"A","Vacunación","Filadelfia","244","7566345645"
"A","Vacunación","Risaralda","244","7639223154"
"A","Vacunación","Norcasia","243","7133818847"
"A","Vacunación","Marmato","231","7865297101"
"A","Vacunación","Marquetalia","229","7189273074"
"A","Vacunación","La Dorada","229","6564842642"
"A","Vacunación","Aguadas","229","7094161839"
"A","Vacunación","Neira","228","7646420096"
"A","Vacunación","Marulanda","228","7077161949"
"A","Vacunación","Belalcázar","222","6671122901"
"A","Vacunación","lse","220","7067373082"
"A","Vacunación","Villamaría","220","7321003655"
"A","Vacunación","Manizales","218","6687564481"
"A","Vacunación","Anserma","218","6888498545"
"A","Vacunación","Salamina","214","6941235679"
"A","Vacunación","La Merced","214","7231139046"
"A","Vacunación","Samaná","212","7026449034"
"A","Vacunación","Victoria","210","6429824395"
"A","Vacunación","San José","206","6354510309"
"A","Vacunación","Viterbo","203","6456776261"
"A","Vacunación","Chinchiná","199","5908775268"
"A","Vacunación","Pácora","199","6311313844"
"A","Vacunación","Aranzazu","195","6090982207"
"A","Vacunación","Manzanares","194","6308633305"
"A","Vacunación","Supía","188","6408795541"
"A","Vacunación","Riosucio","181","6030116422"
"B","Bibliotecas","Chinchiná","248","7882908035"
"B","Bibliotecas","Villamaría","240","7610105032"
"B","Bibliotecas","Belalcázar","237","7842959833"
"B","Bibliotecas","Aguadas","234","7419174629"
"B","Bibliotecas","Norcasia","233","7118060910"
"B","Bibliotecas","Manzanares","231","7360371396"
"B","Bibliotecas","Supía","231","7579622938"
"B","Bibliotecas","La Merced","228","7263720590"
"B","Bibliotecas","Viterbo","228","7329787620"
"B","Bibliotecas","Aranzazu","225","7028710760"
"B","Bibliotecas","Neira","225","6890745884"
"B","Bibliotecas","Victoria","224","6432366664"
"B","Bibliotecas","Marulanda","223","6451642348"
"B","Bibliotecas","Samaná","220","7201483605"
"B","Bibliotecas","Riosucio","218","7075401806"
"B","Bibliotecas","Manizales","218","7012551116"
"B","Bibliotecas","Marquetalia","212","6330523583"
"B","Bibliotecas","lse","211","7246038063"
"B","Bibliotecas","San José","205","6163301424"
"B","Bibliotecas","Risaralda","205","6573015053"
"B","Bibliotecas","La Dorada","198","5961144555"
"B","Bibliotecas","Marmato","198","5939597949"
"B","Bibliotecas","Filadelfia","197","5390501224"
"B","Bibliotecas","Anserma","194","6083926109"
"B","Bibliotecas","Salamina","194","6793107262"
"B","Bibliotecas","Pácora","193","5676089568"
"B","Centros Rcreacionales","Villamaría","238","7103791194"
"B","Centros Rcreacionales","Manzanares","234","7936503552"
"B","Centros Rcreacionales","Pácora","234","7034434027"
"B","Centros Rcreacionales","Risaralda","228","7218980003"
"B","Centros Rcreacionales","Anserma","227","6988757810"
"B","Centros Rcreacionales","Neira","225","7046433386"
"B","Centros Rcreacionales","La Dorada","224","6612678059"
"B","Centros Rcreacionales","Samaná","224","7409933534"
"B","Centros Rcreacionales","Supía","223","6860745950"
"B","Centros Rcreacionales","San José","222","6794061855"
"B","Centros Rcreacionales","Belalcázar","222","6839769417"
"B","Centros Rcreacionales","Chinchiná","221","6887472128"
"B","Centros Rcreacionales","Marmato","216","6542157201"
"B","Centros Rcreacionales","La Merced","216","6392077377"
"B","Centros Rcreacionales","lse","215","6981990522"
"B","Centros Rcreacionales","Aranzazu","214","6678442096"
"B","Centros Rcreacionales","Marquetalia","214","6395833475"
"B","Centros Rcreacionales","Aguadas","214","6370659259"
"B","Centros Rcreacionales","Riosucio","211","6502087549"
"B","Centros Rcreacionales","Norcasia","210","6170985039"
"B","Centros Rcreacionales","Victoria","209","6047101596"
"B","Centros Rcreacionales","Marulanda","202","6083269518"
"B","Centros Rcreacionales","Viterbo","201","5762918885"
"B","Centros Rcreacionales","Filadelfia","200","6334701207"
"B","Centros Rcreacionales","Manizales","199","6671428377"
"B","Centros Rcreacionales","Salamina","189","6107607416"
"B","Creditos","Pácora","251","7874088740"
"B","Creditos","Victoria","247","7531056003"
"B","Creditos","Viterbo","244","7762127956"
"B","Creditos","lse","238","7830667031"
"B","Creditos","Supía","227","7456564137"
"B","Creditos","Villamaría","223","6955147180"
"B","Creditos","Neira","222","6852579667"
"B","Creditos","Aranzazu","222","6911565684"
"B","Creditos","Risaralda","221","7365382334"
"B","Creditos","Salamina","218","6411595252"
"B","Creditos","Aguadas","217","6641449955"
"B","Creditos","Riosucio","216","6661301429"
"B","Creditos","Norcasia","216","6260746235"
"B","Creditos","Marmato","215","7071638805"
"B","Creditos","Manizales","213","7454899546"
"B","Creditos","Anserma","212","6779911978"
"B","Creditos","San José","212","6907883245"
"B","Creditos","Marquetalia","211","6380957308"
"B","Creditos","Marulanda","208","6321490896"
"B","Creditos","Filadelfia","207","6046116351"
"B","Creditos","Samaná","207","6572507980"
"B","Creditos","La Dorada","205","6976862079"
"B","Creditos","Manzanares","198","6451282055"
"B","Creditos","Chinchiná","197","5813484014"
"B","Creditos","Belalcázar","196","5483293623"
"B","Creditos","La Merced","187","5858311883"
"B","Deporte y Acondicionamiento Fisico","Anserma","242","7396062066"
"B","Deporte y Acondicionamiento Fisico","Victoria","238","7594746838"
"B","Deporte y Acondicionamiento Fisico","La Merced","238","7644458307"
"B","Deporte y Acondicionamiento Fisico","Norcasia","233","7377631338"
"B","Deporte y Acondicionamiento Fisico","Marquetalia","228","7044926394"
"B","Deporte y Acondicionamiento Fisico","Aguadas","223","6588538560"
"B","Deporte y Acondicionamiento Fisico","San José","223","6959389388"
"B","Deporte y Acondicionamiento Fisico","Aranzazu","222","7107273569"
"B","Deporte y Acondicionamiento Fisico","Villamaría","221","7472472997"
"B","Deporte y Acondicionamiento Fisico","Pácora","218","6414569126"
"B","Deporte y Acondicionamiento Fisico","Filadelfia","218","6461723685"
"B","Deporte y Acondicionamiento Fisico","Chinchiná","217","6856344309"
"B","Deporte y Acondicionamiento Fisico","Samaná","217","7046403250"
"B","Deporte y Acondicionamiento Fisico","Marmato","216","7192697893"
"B","Deporte y Acondicionamiento Fisico","Riosucio","214","6596275481"
"B","Deporte y Acondicionamiento Fisico","Salamina","213","7003143227"
"B","Deporte y Acondicionamiento Fisico","Risaralda","210","6885123717"
"B","Deporte y Acondicionamiento Fisico","Neira","209","6295514532"
"B","Deporte y Acondicionamiento Fisico","Manizales","208","6614627742"
"B","Deporte y Acondicionamiento Fisico","La Dorada","208","6760297378"
"B","Deporte y Acondicionamiento Fisico","Viterbo","207","6730849244"
"B","Deporte y Acondicionamiento Fisico","lse","202","6692297320"
"B","Deporte y Acondicionamiento Fisico","Belalcázar","200","6653955114"
"B","Deporte y Acondicionamiento Fisico","Supía","200","6058581902"
"B","Deporte y Acondicionamiento Fisico","Marulanda","199","6026519821"
"B","Deporte y Acondicionamiento Fisico","Manzanares","198","6558726928"
"B","Deportes","Marmato","238","7499412360"
"B","Deportes","Samaná","236","7535385331"
"B","Deportes","Filadelfia","235","7375482279"
"B","Deportes","Supía","235","7119031925"
"B","Deportes","Manzanares","232","7142385948"
"B","Deportes","Chinchiná","230","6955389019"
"B","Deportes","Villamaría","230","6931947143"
"B","Deportes","Aranzazu","226","6919802311"
"B","Deportes","Victoria","225","6779960544"
"B","Deportes","Anserma","224","6488128944"
"B","Deportes","Viterbo","223","6591442958"
"B","Deportes","San José","223","7159609666"
"B","Deportes","Norcasia","219","6826238054"
"B","Deportes","Risaralda","219","6490598495"
"B","Deportes","Manizales","219","6677905824"
"B","Deportes","Riosucio","219","7215658110"
"B","Deportes","Belalcázar","217","6537590776"
"B","Deportes","Marquetalia","211","6469074764"
"B","Deportes","La Dorada","210","6568850641"
"B","Deportes","lse","209","6984997062"
"B","Deportes","Pácora","208","6583730105"
"B","Deportes","La Merced","206","6483920132"
"B","Deportes","Neira","205","6376436260"
"B","Deportes","Salamina","202","6557314208"
"B","Deportes","Marulanda","200","6248393783"
"B","Deportes","Aguadas","194","6372100115"
"B","Educación","Belalcázar","244","7785416282"
"B","Educación","Viterbo","240","7995441426"
"B","Educación","Aranzazu","237","7306310668"
"B","Educación","Salamina","235","6923976146"
"B","Educación","Norcasia","231","6990392007"
"B","Educación","Victoria","229","6622184130"
"B","Educación","Marquetalia","228","7252292593"
"B","Educación","Risaralda","226","6967317305"
"B","Educación","Manzanares","225","7238408332"
"B","Educación","Pácora","224","7425867186"
"B","Educación","La Dorada","220","7414739998"
"B","Educación","La Merced","220","7332814414"
"B","Educación","Manizales","219","6658666643"
"B","Educación","Aguadas","217","6895240496"
"B","Educación","Neira","215","7062340215"
"B","Educación","Samaná","213","6720097376"
"B","Educación","Marulanda","210","6640452614"
"B","Educación","Marmato","207","6383286379"
"B","Educación","Chinchiná","207","6129835559"
"B","Educación","Villamaría","202","6293646135"
"B","Educación","Riosucio","201","6709776756"
"B","Educación","San José","201","7241365950"
"B","Educación","Anserma","201","6335700863"
"B","Educación","Filadelfia","200","6292193090"
"B","Educación","lse","197","6281517510"
"B","Educación","Supía","185","5850735649"
"B","Eventos Culturales","Aguadas","242","7813374511"
"B","Eventos Culturales","Aranzazu","242","7487383133"
"B","Eventos Culturales","Chinchiná","235","7778197446"
"B","Eventos Culturales","Viterbo","231","6911110892"
"B","Eventos Culturales","Norcasia","231","7092727710"
"B","Eventos Culturales","La Dorada","228","7463175848"
"B","Eventos Culturales","Marquetalia","228","7213436936"
"B","Eventos Culturales","San José","228","7944318654"
"B","Eventos Culturales","Villamaría","227","7050293028"
"B","Eventos Culturales","La Merced","227","7043030833"
"B","Eventos Culturales","Samaná","225","7181693773"
"B","Eventos Culturales","Supía","218","6356394631"
"B","Eventos Culturales","Salamina","217","6548037391"
"B","Eventos Culturales","Risaralda","211","6690217031"
"B","Eventos Culturales","Anserma","209","6304202482"
"B","Eventos Culturales","Marmato","209","6702852167"
"B","Eventos Culturales","Riosucio","208","6139198524"
"B","Eventos Culturales","Manzanares","208","6404765279"
"B","Eventos Culturales","Pácora","207","6282937493"
"B","Eventos Culturales","Filadelfia","206","6334484599"
"B","Eventos Culturales","lse","204","6648168096"
"B","Eventos Culturales","Marulanda","201","6225553402"
"B","Eventos Culturales","Belalcázar","200","5812318855"
"B","Eventos Culturales","Manizales","199","6559376991"
"B","Eventos Culturales","Neira","195","5640989149"
"B","Eventos Culturales","Victoria","190","5943979489"
"B","Plan Medicina Prepagada","Anserma","251","7412710455"
"B","Plan Medicina Prepagada","Norcasia","237","7483755672"
"B","Plan Medicina Prepagada","Filadelfia","231","7450981118"
"B","Plan Medicina Prepagada","Samaná","229","7247387135"
"B","Plan Medicina Prepagada","La Dorada","229","7156535916"
"B","Plan Medicina Prepagada","San José","228","7129454746"
"B","Plan Medicina Prepagada","Manizales","225","7042543994"
"B","Plan Medicina Prepagada","Marulanda","222","7216912874"
"B","Plan Medicina Prepagada","Villamaría","221","6760802233"
"B","Plan Medicina Prepagada","Neira","217","6554930230"
"B","Plan Medicina Prepagada","Victoria","214","7251436747"
"B","Plan Medicina Prepagada","Aranzazu","213","6844400919"
"B","Plan Medicina Prepagada","Manzanares","213","6819082851"
"B","Plan Medicina Prepagada","Supía","213","6381437963"
"B","Plan Medicina Prepagada","Chinchiná","212","6718963054"
"B","Plan Medicina Prepagada","Marmato","211","6650725588"
"B","Plan Medicina Prepagada","Viterbo","209","6516997835"
"B","Plan Medicina Prepagada","Salamina","209","6497954197"
"B","Plan Medicina Prepagada","Belalcázar","209","6253338092"
"B","Plan Medicina Prepagada","Marquetalia","208","6571550467"
"B","Plan Medicina Prepagada","La Merced","204","6048569646"
"B","Plan Medicina Prepagada","lse","201","6418453550"
"B","Plan Medicina Prepagada","Aguadas","200","5555039536"
"B","Plan Medicina Prepagada","Pácora","196","6169742426"
"B","Plan Medicina Prepagada","Risaralda","191","5942998159"
"B","Plan Medicina Prepagada","Riosucio","189","6077251338"
"B","Servicios Medicos","Marquetalia","238","7415262091"
"B","Servicios Medicos","Chinchiná","235","6936384019"
"B","Servicios Medicos","Neira","234","7229743852"
"B","Servicios Medicos","Norcasia","233","7293252220"
"B","Servicios Medicos","Manzanares","229","7550349689"
"B","Servicios Medicos","Samaná","228","6641049807"
"B","Servicios Medicos","La Dorada","228","7747703931"
"B","Servicios Medicos","Salamina","225","6737697346"
"B","Servicios Medicos","lse","224","7369157355"
"B","Servicios Medicos","Aguadas","220","6458813482"
"B","Servicios Medicos","Villamaría","219","7400504622"
"B","Servicios Medicos","Riosucio","218","7044355375"
"B","Servicios Medicos","Supía","218","6639364739"
"B","Servicios Medicos","Aranzazu","217","6511733250"
"B","Servicios Medicos","La Merced","217","6766790696"
"B","Servicios Medicos","Marulanda","217","6965765164"
"B","Servicios Medicos","Manizales","215","6962310429"
"B","Servicios Medicos","Pácora","215","6757493602"
"B","Servicios Medicos","Anserma","212","6556763976"
"B","Servicios Medicos","Marmato","211","7178346110"
"B","Servicios Medicos","Victoria","211","6634682635"
"B","Servicios Medicos","Risaralda","208","6309899333"
"B","Servicios Medicos","Viterbo","208","6948518814"
"B","Servicios Medicos","San José","198","6516676645"
"B","Servicios Medicos","Belalcázar","197","6079891722"
"B","Servicios Medicos","Filadelfia","188","5873936440"
"B","Subsidios","Norcasia","249","7497131501"
"B","Subsidios","Marmato","236","7360774152"
"B","Subsidios","Manizales","236","8426010185"
"B","Subsidios","Aranzazu","235","7060918499"
"B","Subsidios","Aguadas","234","7206687761"
"B","Subsidios","Pácora","231","7687535673"
"B","Subsidios","Anserma","230","7307824819"
"B","Subsidios","La Dorada","229","7712258260"
"B","Subsidios","lse","229","7141158100"
"B","Subsidios","Samaná","226","7512945760"
"B","Subsidios","La Merced","225","7618310804"
"B","Subsidios","Victoria","223","7390833457"
"B","Subsidios","Viterbo","222","7136605358"
"B","Subsidios","Chinchiná","220","6492467891"
"B","Subsidios","Marquetalia","217","6481704020"
"B","Subsidios","Filadelfia","216","6809396271"
"B","Subsidios","Neira","213","6569155209"
"B","Subsidios","Salamina","212","6255292354"
"B","Subsidios","Marulanda","212","6050601684"
"B","Subsidios","Riosucio","212","6653455464"
"B","Subsidios","Villamaría","212","6775069754"
"B","Subsidios","Risaralda","210","6809364937"
"B","Subsidios","Supía","200","6349721813"
"B","Subsidios","Belalcázar","195","5705956706"
"B","Subsidios","San José","189","6105264889"
"B","Subsidios","Manzanares","185","5376008172"
"B","Vacunación","La Merced","259","8514610611"
"B","Vacunación","Marquetalia","251","8209674755"
"B","Vacunación","Aranzazu","244","7325266370"
"B","Vacunación","lse","244","7415884140"
"B","Vacunación","Norcasia","235","7285371447"
"B","Vacunación","Viterbo","235","7643386312"
"B","Vacunación","San José","234","7946142130"
"B","Vacunación","Aguadas","231","7511815938"
